Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Ppanggolin_I0.98C0.60,ShortRead,All,Bakta,Ppanggolin,2844,3234,6078,2881,2110,9653,5561,Ppanggolin (I0.98-C0.60),4991,15214
Ppanggolin_I0.98C0.60,ShortRead,All,PGAP,Ppanggolin,1805,3031,4836,1513,1876,4423,4308,Ppanggolin (I0.98-C0.60),3389,8731
Ppanggolin_I0.98C0.80,LongRead,All,Bakta,Ppanggolin,2310,3578,5888,1163,1065,4152,2150,Ppanggolin (I0.98-C0.80),2228,6302
Ppanggolin_I0.98C0.80,LongRead,All,PGAP,Ppanggolin,1431,3181,4612,544,1278,1469,2465,Ppanggolin (I0.98-C0.80),1822,3934
Ppanggolin_I0.98C0.80,ShortRead,All,Bakta,Ppanggolin,3235,3183,6418,3171,2293,10814,5776,Ppanggolin (I0.98-C0.80),5464,16590
Ppanggolin_I0.98C0.80,ShortRead,All,PGAP,Ppanggolin,2169,3023,5192,1950,2071,5944,4593,Ppanggolin (I0.98-C0.80),4021,10537
Ppanggolin_I0.98C0.90,LongRead,All,PGAP,Ppanggolin,1495,3171,4666,609,1331,1635,2547,Ppanggolin (I0.98-C0.90),1940,4182
Ppanggolin_I0.98C0.90,ShortRead,All,Bakta,Ppanggolin,3602,3126,6728,3464,2462,11653,6100,Ppanggolin (I0.98-C0.90),5926,17753
Ppanggolin_I0.98C0.90,ShortRead,All,PGAP,Ppanggolin,2365,3011,5376,2056,2088,6554,4713,Ppanggolin (I0.98-C0.90),4144,11267
Ppanggolin_I0.98C0.90,LongRead,All,Bakta,Ppanggolin,2914,3514,6428,1502,1288,5263,2473,Ppanggolin (I0.98-C0.90),2790,7736
Pangene_0.9.Miniprot0.95,LongRead,All,PGAP,Pangene,277,3816,4093,92,433,166,555,"Pangene 
 (C0.9-M0.95)",525,721
Pangene_0.9.Miniprot0.95,LongRead,All,Bakta,Pangene,359,3797,4156,145,451,264,634,"Pangene 
 (C0.9-M0.95)",596,898
Pangene_0.9.Miniprot0.95,ShortRead,All,PGAP,Pangene,620,3290,3910,935,1066,2558,2938,"Pangene 
 (C0.9-M0.95)",2001,5496
